Kode,NamaPaket,Instansi,SatuanKerja,Kategori,SistemPengadaan,TahunAnggaran,NilaiPagu,NilaiHPS,LokasiPekerjaan,SyaratKualifikasi,URL
10116786000,Kode RUP Nama Paket Sumber Dana 65470170 Konsultan Pengawas Peningkatan Jalan Paket 7 Losari - Gayamharjo dan Paket 8 Kenaran - Losari APBD 65470170Konsultan Pengawas Peningkatan Jalan Paket 7 Losari - Gayamharjo dan Paket 8 Kenaran - LosariAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 290.000.000,00Rp. 289.313.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116786000/pengumumanlelang
10116791000,Kode RUP Nama Paket Sumber Dana 65470141 Konsultan Pengawasan Peningkatan Jalan Paket 12 Sanggrahan - Manukan APBD 65470141Konsultan Pengawasan Peningkatan Jalan Paket 12 Sanggrahan - ManukanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 125.000.000,00Rp. 124.867.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116791000/pengumumanlelang
10116785000,Kode RUP Nama Paket Sumber Dana 65470136 Konsultan Pengawas Peningkatan Jalan Paket 4 Pugeran - Paingan APBD 65470136Konsultan Pengawas Peningkatan Jalan Paket 4 Pugeran - PainganAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 195.000.000,00Rp. 194.353.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116785000/pengumumanlelang
10116782000,Kode RUP Nama Paket Sumber Dana 65470140 Konsultan Pengawas Peningkatan Jalan Paket 1 Krapyak - Wonosari APBD 65470140Konsultan Pengawas Peningkatan Jalan Paket 1 Krapyak - WonosariAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 125.000.000,00Rp. 124.867.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116782000/pengumumanlelang
10116788000,Kode RUP Nama Paket Sumber Dana 65470138 Konsultan Pengawas Peningkatan Jalan Paket 10 Diro - Kwayuhan APBD 65470138Konsultan Pengawas Peningkatan Jalan Paket 10 Diro - KwayuhanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 195.000.000,00Rp. 194.353.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116788000/pengumumanlelang
10139219000,Kode RUP Nama Paket Sumber Dana 66994119 Jasa Konsultasi Pemutakhiran Peta Blok PBBP2 APBD 66994119Jasa Konsultasi Pemutakhiran Peta Blok PBBP2APBD,Kab. Sleman,BADAN KEUANGAN DAN ASET DAERAH,,,APBD 2026,"Rp. 250.000.000,00Rp. 249.514.303,71",,BKAD Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139219000/pengumumanlelang
10139664000,Kode RUP Nama Paket Sumber Dana 65031309 Jasa Konsultansi Perencanaan Teknis Jembatan APBD 65031309Jasa Konsultansi Perencanaan Teknis JembatanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 145.000.000,00Rp. 144.999.300,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10139664000/pengumumanlelang
10131819000,Kode RUP Nama Paket Sumber Dana 63817136 Jasa Konsultansi Leger Jalan APBD 63817136Jasa Konsultansi Leger JalanAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 265.792.900,00Rp. 265.767.855,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10131819000/pengumumanlelang
10116783000,Kode RUP Nama Paket Sumber Dana 65470134 Konsultan Pengawas Peningkatan Jalan Paket 2 Ngawen - Kenteng APBD 65470134Konsultan Pengawas Peningkatan Jalan Paket 2 Ngawen - KentengAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 195.000.000,00Rp. 194.769.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10116783000/pengumumanlelang
10137059000,Kode RUP Nama Paket Sumber Dana 65470145 Konsultan Pengawasan Peningkatan Jembatan Nyamplung APBD 65470145Konsultan Pengawasan Peningkatan Jembatan NyamplungAPBD,Kab. Sleman,DINAS PEKERJAAN UMUM PERUMAHAN DAN KAWASAN PERMUKIMAN,,,APBD 2026,"Rp. 120.000.000,00Rp. 119.926.000,00",,Kabupaten Sleman - Sleman (Kab.),,https://spse.inaproc.id/slemankab/lelang/10137059000/pengumumanlelang
